# x	y	u	v	s2n	mask
  2.5000	  3.5000	 -2.5133	  0.0491	     nan	  0.0000
  5.5000	  3.5000	 -2.4788	 -0.0071	     nan	  0.0000
  8.5000	  3.5000	 -2.4650	 -0.0525	     nan	  0.0000
 11.5000	  3.5000	 -2.3925	 -0.0272	     nan	  0.0000
 14.5000	  3.5000	 -2.2237	  0.0209	     nan	  0.0000
 17.5000	  3.5000	 -2.2911	  0.0325	     nan	  0.0000
 20.5000	  3.5000	 -2.3247	  0.0119	     nan	  0.0000
 23.5000	  3.5000	 -2.3448	 -0.0356	     nan	  0.0000
 26.5000	  3.5000	 -2.2873	 -0.0349	     nan	  0.0000
 29.5000	  3.5000	 -2.3016	  0.0176	     nan	  0.0000
 32.5000	  3.5000	 -2.3511	  0.0469	     nan	  0.0000
 35.5000	  3.5000	 -2.2887	  0.0168	     nan	  0.0000
 38.5000	  3.5000	 -2.2569	  0.0196	     nan	  0.0000
 41.5000	  3.5000	 -2.2654	  0.0130	     nan	  0.0000
 44.5000	  3.5000	 -2.2419	 -0.0628	     nan	  0.0000
 47.5000	  3.5000	 -2.2915	 -0.0364	     nan	  0.0000
 50.5000	  3.5000	 -2.3114	  0.0779	     nan	  0.0000
 53.5000	  3.5000	 -2.3597	  0.0797	     nan	  0.0000
 56.5000	  3.5000	 -2.3696	  0.0384	     nan	  0.0000
 59.5000	  3.5000	 -2.3733	  0.0042	     nan	  0.0000
 62.5000	  3.5000	 -2.3944	  0.0187	     nan	  0.0000
 65.5000	  3.5000	 -2.3321	  0.0681	     nan	  0.0000
 68.5000	  3.5000	 -2.2644	  0.1064	     nan	  0.0000
 71.5000	  3.5000	 -2.2124	  0.1078	     nan	  0.0000
 74.5000	  3.5000	 -2.1724	  0.1048	     nan	  0.0000
 77.5000	  3.5000	 -2.0759	  0.0335	     nan	  0.0000
 80.5000	  3.5000	 -2.1194	  0.0132	     nan	  0.0000
 83.5000	  3.5000	 -2.3438	 -0.0100	     nan	  0.0000
 86.5000	  3.5000	 -2.3503	  0.0337	     nan	  0.0000
 89.5000	  3.5000	 -2.3103	  0.0673	     nan	  0.0000
 92.5000	  3.5000	 -2.3225	  0.0592	     nan	  0.0000
 95.5000	  3.5000	 -2.3067	  0.1082	     nan	  0.0000
 98.5000	  3.5000	 -2.3641	  0.1705	     nan	  0.0000
101.5000	  3.5000	 -2.4340	  0.1029	     nan	  0.0000
104.5000	  3.5000	 -2.3846	 -0.0121	     nan	  0.0000
107.5000	  3.5000	 -2.3590	 -0.0667	     nan	  0.0000
110.5000	  3.5000	 -2.3500	 -0.0551	     nan	  0.0000
113.5000	  3.5000	 -2.3306	  0.0192	     nan	  0.0000
116.5000	  3.5000	 -2.2762	  0.0589	     nan	  0.0000
119.5000	  3.5000	 -2.2690	  0.0971	     nan	  0.0000
122.5000	  3.5000	 -2.3251	  0.1154	     nan	  0.0000
125.5000	  3.5000	 -2.3669	  0.0629	     nan	  0.0000
128.5000	  3.5000	 -2.3144	  0.0035	     nan	  0.0000
131.5000	  3.5000	 -2.2314	  0.0436	     nan	  0.0000
134.5000	  3.5000	 -2.2267	  0.0573	     nan	  0.0000
137.5000	  3.5000	 -2.2224	  0.0034	     nan	  0.0000
140.5000	  3.5000	 -2.2853	 -0.0007	     nan	  0.0000
143.5000	  3.5000	 -2.3307	  0.0114	     nan	  0.0000
146.5000	  3.5000	 -2.3982	 -0.0003	     nan	  0.0000
149.5000	  3.5000	 -2.4158	 -0.0833	     nan	  0.0000
152.5000	  3.5000	 -2.4272	 -0.1163	     nan	  0.0000
155.5000	  3.5000	 -2.4063	 -0.1092	     nan	  0.0000
158.5000	  3.5000	 -2.3624	 -0.1077	     nan	  0.0000
161.5000	  3.5000	 -2.3185	 -0.1017	     nan	  0.0000
164.5000	  3.5000	 -2.3152	 -0.0935	     nan	  0.0000
167.5000	  3.5000	 -2.3362	 -0.1476	     nan	  0.0000
170.5000	  3.5000	 -2.3449	 -0.1388	     nan	  0.0000
173.5000	  3.5000	 -2.3769	 -0.0772	     nan	  0.0000
176.5000	  3.5000	 -2.3895	 -0.0138	     nan	  0.0000
179.5000	  3.5000	 -2.3221	 -0.0011	     nan	  0.0000
182.5000	  3.5000	 -2.3780	 -0.0059	     nan	  0.0000
185.5000	  3.5000	 -2.4503	  0.0115	     nan	  0.0000
188.5000	  3.5000	 -2.4729	  0.0350	     nan	  0.0000
191.5000	  3.5000	 -2.5401	  0.0547	     nan	  0.0000
194.5000	  3.5000	 -2.5158	  0.0416	     nan	  0.0000
197.5000	  3.5000	 -2.4398	 -0.0148	     nan	  0.0000
200.5000	  3.5000	 -2.3840	 -0.0042	     nan	  0.0000
203.5000	  3.5000	 -2.3239	  0.0517	     nan	  0.0000
206.5000	  3.5000	 -2.3197	  0.0750	     nan	  0.0000
209.5000	  3.5000	 -2.3685	  0.0474	     nan	  0.0000
212.5000	  3.5000	 -2.3976	  0.0183	     nan	  0.0000
215.5000	  3.5000	 -2.4140	  0.0131	     nan	  0.0000
218.5000	  3.5000	 -2.4622	  0.0353	     nan	  0.0000
221.5000	  3.5000	 -2.4940	  0.0472	     nan	  0.0000
224.5000	  3.5000	 -2.3738	  0.0063	     nan	  0.0000
227.5000	  3.5000	 -2.3298	 -0.0155	     nan	  0.0000
